TP_by_L,TP_by_M,Length,Weight,fish_no,Origin 
5.364817451,5.029715269,876,302.69,S001,Red
6.314821973,4.980550419,730,127.35,S002,Red
7.233604126,4.879458647,964,352.95,S003,Red
,3.854888416,738,134.6,S004,Med
7.208585538,4.155243827,684,112,S005,Med
,5.059647365,750,142,S006,Med
6.204445852,3.22955571,685,102,S007,Med
